unit,probe,suggestion,turtle_flag
donatello,donatello,donatello,0
donatello,donatello,donatello ninja turtle,1
donatello,donatello,donatello tampa,0
donatello,donatello,donatello turtle,1
donatello,donatello,donatello tmnt,1
donatello,donatello,donatello david,0
donatello,donatello,donatellos pizza,0
donatello,donatello,donatello versace,0
donatello,donatello,donatello versus,0
donatello,donatello,donatello artist,0
donatello,donatello a,donatello artist,0
donatello,donatello a,donatello artwork,0
donatello,donatello a,donatello art,0
donatello,donatello a,donatello and april,0
donatello,donatello a,donatello as the invisible man,0
donatello,donatello a,donatello action figure,0
donatello,donatello a,donatello and michelangelo,0
donatello,donatello a,donatello apartments,0
donatello,donatello a,donatello and leonardo,0
donatello,donatello a,donatello artist full name,0
donatello,donatello b,donatello bo staff,1
donatello,donatello b,donatello bologna,0
donatello,donatello b,donatello backpack,0
donatello,donatello b,donatello bronze david,0
donatello,donatello b,donatello bonasera,0
donatello,donatello b,donatello binoculars meme,0
donatello,donatello b,donatello birthday tmnt,1
donatello,donatello b,donatello birthday,0
donatello,donatello b,donatello bologna restaurant,0
donatello,donatello b,donatello bardi,0
donatello,donatello c,donatello costume,0
donatello,donatello c,donatello coloring page,0
donatello,donatello c,donatello cheese,0
donatello,donatello c,donatello color,0
donatello,donatello c,donatello crucifix,0
donatello,donatello c,donatello cologne,0
donatello,donatello c,donatello commander deck,0
donatello,donatello c,donatello cartoon,0
donatello,donatello c,donatello cosplay,0
donatello,donatello c,donatello commander,0
donatello,donatello d,donatello david,0
donatello,donatello d,donatello david sculpture,0
donatello,donatello d,donatello david statue,0
donatello,donatello d,donatello does machines,0
donatello,donatello d,donatello death,0
donatello,donatello d,donatello designer,0
donatello,donatello d,donatello death last ronin,0
donatello,donatello d,donatello drawing,0
donatello,donatello d,donatello death tmnt,1
donatello,donatello d,donatello dress code,0
donatello,donatello e,donatello electric,0
donatello,donatello e,donatello electric reviews,0
donatello,donatello e,donatello eyes meme,0
donatello,donatello e,donatello edhrec,0
donatello,donatello e,donatello espresso,0
donatello,donatello e,donatello eaten by rats,0
donatello,donatello e,donatello eyebrow raise,0
donatello,donatello e,donatello eating pizza,0
donatello,donatello e,donatello electric inc,0
donatello,donatello e,donatello eyes,0
donatello,donatello f,donatello fuggler,0
donatello,donatello f,donatello from ninja turtles,1
donatello,donatello f,donatello funko pop,0
donatello,donatello f,donatello famous works,0
donatello,donatello f,donatello full name,0
donatello,donatello f,donatello figure,0
donatello,donatello f,donatello france,0
donatello,donatello f,donatello fortnite,0
donatello,donatello f,donatello fashion designer,0
donatello,donatello f,donatello famous artworks,0
donatello,donatello g,donatello gadget master,0
donatello,donatello g,donatello gian,0
donatello,donatello g,donatello gian jewelry,0
donatello,donatello g,donatello gadget master mtg,0
donatello,donatello g,donatello goggles meme,0
donatello,donatello g,donatello glasses meme,0
donatello,donatello g,donatello gif,0
donatello,donatello g,donatello glasses,0
donatello,donatello g,donatello goggles,0
donatello,donatello g,donatello godzilla,0
donatello,donatello h,donatello hotel san francisco,0
donatello,donatello h,donatello hotel,0
donatello,donatello h,donatello hamato,0
donatello,donatello h,donatello hotel san francisco reviews,0
donatello,donatello h,donatello height,0
donatello,donatello h,donatello halloween costume,0
donatello,donatello h,donatello horse,0
donatello,donatello h,donatello hell hades,0
donatello,donatello h,donatello hotel dubai,0
donatello,donatello h,donatello hello kitty,0
donatello,donatello i,donatello italian restaurant,0
donatello,donatello i,donatello italian restaurant menu,0
donatello,donatello i,donatello italian restaurant photos,0
donatello,donatello i,donatello invisible man,0
donatello,donatello i,donatello italian restaurant tampa,0
donatello,donatello i,donatello italian,0
donatello,donatello i,donatello invisible man figure,0
donatello,donatello i,donatello italian sculptor,0
donatello,donatello i,donatello iq,0
donatello,donatello i,donatello in supernatural,0
donatello,donatello j,donatello jojo,0
donatello,donatello j,donatello jet jaguar,0
donatello,donatello j,donatello judith and holofernes,0
donatello,donatello j,donatello jet jaguar release date,0
donatello,donatello j,donatello judith,0
donatello,donatello j,donatello john the baptist,0
donatello,donatello j,donatello jet jaguar figure,0
donatello,donatello j,donatello jojo stand,0
donatello,donatello j,donatello jewelry,0
donatello,donatello j,donatello joshua,0
donatello,donatello k,donatello keychain,0
donatello,donatello k,donatello kush strain,0
donatello,donatello k,donatello kylian mbappe,0
donatello,donatello k,donatello kaiju,0
donatello,donatello k,donatello king david,0
donatello,donatello k,donatello known for,0
donatello,donatello k,donatello k davis,0
donatello,donatello k,donatello kediri,0
donatello,donatello k,donatello kudus,0
donatello,donatello k,donatello kura kura ninja,1
donatello,donatello l,donatello looking meme,0
donatello,donatello l,donatello live action,0
donatello,donatello l,donatello last ronin,0
donatello,donatello l,donatello last name,0
donatello,donatello l,donatello live action meme,0
donatello,donatello l,donatello leonardo michelangelo raphael,0
donatello,donatello l,donatello lego,0
donatello,donatello l,donatello light blue,0
donatello,donatello l,donatello leather florence,0
donatello,donatello l,donatello life,0
donatello,donatello m,donatello mutant mechanic,1
donatello,donatello m,donatello mtg,0
donatello,donatello m,donatello mbappe,0
donatello,donatello m,donatello meme,0
donatello,donatello m,donatello mutant mechanic mtg,1
donatello,donatello m,donatello mary magdalene,0
donatello,donatello m,donatello meaning,0
donatello,donatello m,donatello mtg card,0
donatello,donatello m,donatello most famous work,0
donatello,donatello m,donatello mutant turtle,1
donatello,donatello n,donatello ninja turtle,1
donatello,donatello n,donatello ninja turtle toy,1
donatello,donatello n,donatello name meaning,0
donatello,donatello n,donatello ninja turtle weapon,1
donatello,donatello n,donatello ninja turtle personality,1
donatello,donatello n,donatello ninja,1
donatello,donatello n,donatello ninja turtle mbappe,1
donatello,donatello n,donatello ninja turtle live action,1
donatello,donatello n,donatello ninja turtle meme,1
donatello,donatello n,donatello ninja turtle costume,1
donatello,donatello o,donatello overwatch,0
donatello,donatello o,donatello outfit,0
donatello,donatello o,donatello overwatch profile,0
donatello,donatello o,donatello orsanmichele,0
donatello,donatello o,donatello out of the shadows,0
donatello,donatello o,donatello opera night,0
donatello,donatello o,donatello on supernatural,0
donatello,donatello o,donatello original tmnt,1
donatello,donatello o,donatello obras,0
donatello,donatello o,donatello opere,0
donatello,donatello p,donatello paintings,0
donatello,donatello p,donatello painter,0
donatello,donatello p,donatello pizza,0
donatello,donatello p,donatello perfume,0
donatello,donatello p,donatello personality,0
donatello,donatello p,donatello pronunciation,0
donatello,donatello p,donatello pfp,0
donatello,donatello p,donatello plush,0
donatello,donatello p,donatello purple,0
donatello,donatello p,donatello personality tmnt,1
donatello,donatello q,donatello quotes,0
donatello,donatello q,donatello quotes tmnt,1
donatello,donatello q,donatello quartzite,0
donatello,donatello q,donatello quotes renaissance,0
donatello,donatello q,donatello quad motor lift chair,0
donatello,donatello q,donatello quien fue,0
donatello,donatello q,donatello quint motor,0
donatello,donatello q,donatello que significa,0
donatello,donatello q,donatello quartz,0
donatello,donatello q,donatello quad lift recliner,0
donatello,donatello r,donatello restaurant,0
donatello,donatello r,donatello rottmnt,1
donatello,donatello r,donatello raid,0
donatello,donatello r,donatello restaurant tampa,0
donatello,donatello r,donatello renaissance,0
donatello,donatello r,donatello rise of the tmnt,1
donatello,donatello r,donatello raid shadow legends,0
donatello,donatello r,donatello restaurant toronto,0
donatello,donatello r,donatello restaurant bologna,0
donatello,donatello r,donatello redfield,0
donatello,donatello s,donatello sculptures,0
donatello,donatello s,donatello san francisco,0
donatello,donatello s,donatello supernatural,0
donatello,donatello s,donatello squinting meme,0
donatello,donatello s,donatello school of nursing and healthcare,0
donatello,donatello s,donatello school of nursing,0
donatello,donatello s,donatello staff,0
donatello,donatello s,donatello strain,0
donatello,donatello s,donatello sculptor,0
donatello,donatello s,donatello statue of david,0
donatello,donatello t,donatello tampa,0
donatello,donatello t,donatello turtle,1
donatello,donatello t,donatello tmnt,1
donatello,donatello t,donatello teenage mutant ninja turtles,1
donatello,donatello t,donatello triplets,0
donatello,donatello t,donatello tmnt 2012,1
donatello,donatello t,donatello tortuga ninja,1
donatello,donatello t,donatello the brains mtg,0
donatello,donatello t,donatello tmnt movie,1
donatello,donatello t,donatello the brains,0
donatello,donatello u,donatello uomo gentleman,0
donatello,donatello u,donatello uomo light blue,0
donatello,donatello u,donatello uomo,0
donatello,donatello u,donatello uomo for men,0
donatello,donatello u,donatello universal monsters,0
donatello,donatello u,donatello uomo milano,0
donatello,donatello u,donatello uomo gentleman for men,0
donatello,donatello u,donatello uomo milano light blue,0
donatello,donatello u,donatello uomo for men price,0
donatello,donatello u,donatello unmatched,0
donatello,donatello v,donatello versace,0
donatello,donatello v,donatello versus,0
donatello,donatello v,donatello voice actor,1
donatello,donatello v,donatello versus stand,0
donatello,donatello v,donatello versace jojo,0
donatello,donatello v,donatello versus jojo,0
donatello,donatello v,donatello versace young,0
donatello,donatello v,donatello versace before and after,0
donatello,donatello v,donatello voice actor 1987,1
donatello,donatello v,donatello vs michelangelo,0
donatello,donatello w,donatello weapon,0
donatello,donatello w,donatello way with machines,1
donatello,donatello w,donatello way with machines mtg,1
donatello,donatello w,donatello work,0
donatello,donatello w,donatello weapon name,0
donatello,donatello w,donatello winder ga,0
donatello,donatello w,donatello weapon tmnt,1
donatello,donatello w,donatello with glasses,0
donatello,donatello w,donatello wallpaper,0
donatello,donatello w,donatello wiki,0
donatello,donatello x,donatello x jet jaguar,0
donatello,donatello x,donatello x godzilla,0
donatello,donatello x,donatello x reader,0
donatello,donatello x,donatello x april,0
donatello,donatello x,donatello x reader ao3,0
donatello,donatello x,donatello x leonardo,0
donatello,donatello x,donatello x michelangelo,0
donatello,donatello x,donatello x casey,0
donatello,donatello x,donatello x leatherhead,0
donatello,donatello x,donatello x godzilla figure,0
donatello,donatello y,donatello y mbappe,0
donatello,donatello y,donatello yeah yeah yeah,0
donatello,donatello y,donatello yogyakarta,0
donatello,donatello y,donatello yeah gif,0
donatello,donatello y,donatello young,0
donatello,donatello y,donatello youtooz,0
donatello,donatello y,donatello years,0
donatello,donatello y,donatello's york pa,0
donatello,donatello y,donatello young david,0
donatello,donatello y,donatello years alive,0
donatello,donatello z,donatello zooming in meme,0
donatello,donatello z,donatello zooming in,0
donatello,donatello z,donatello zuccone,0
donatello,donatello z,donatello zuccone sculpture,0
donatello,donatello z,donatello zlatibor,0
donatello,donatello z,donatello zapiekanka,0
donatello,donatello z,donatello z kurczakiem,0
donatello,donatello z,why donatello is the best ninja turtle,1
donatello,donatello z,which ninja turtle is donatello,1
masaccio,masaccio,masaccio,0
masaccio,masaccio,masaccio holy trinity,0
masaccio,masaccio,masaccio paintings,0
