,Bernini,Donatello
1950,1.5130488861814229e-07,1.372388567233429e-07
1951,9.625844654692628e-08,9.852426785528223e-08
1952,9.233204423253483e-08,9.615968821208298e-08
1953,1.1811915356929603e-07,1.1288415890930992e-07
1954,1.3906394258356158e-07,1.0793022653388107e-07
1955,2.221267578761399e-07,1.0749232615125948e-07
1956,1.1318689985273522e-07,1.0284036733310131e-07
1957,9.377388465736658e-08,2.369340137420295e-07
1958,1.259701036815386e-07,1.682542460912373e-07
1959,1.3392293851666182e-07,1.5479972148568777e-07
1960,1.8838842663626565e-07,1.4341334519940574e-07
1961,1.1494257989852485e-07,1.1831497914727152e-07
1962,1.3180208213725564e-07,1.2608363419985835e-07
1963,1.5796922525623813e-07,1.3206120286213263e-07
1964,1.5505847272834217e-07,2.0499255981576425e-07
1965,1.4033147976988403e-07,1.6384547052439302e-07
1966,1.8326981887639704e-07,1.4318911212285457e-07
1967,1.4183690666413895e-07,1.239659894736178e-07
1968,2.03422231948025e-07,2.436225940982695e-07
1969,1.3253293218440376e-07,1.1413309408681016e-07
1970,1.9245081261942687e-07,1.7189211121149128e-07
1971,1.3563578704633983e-07,1.142140320098406e-07
1972,1.4224828248643462e-07,1.2658694004130666e-07
1973,2.2317502157420677e-07,1.0485084089850716e-07
1974,1.6762281518367672e-07,1.1645206399180097e-07
1975,1.7444476441141887e-07,1.2342057686964836e-07
1976,1.4186814212280296e-07,1.349055906985086e-07
1977,1.4889613453306083e-07,9.246562626685773e-08
1978,1.317983020499014e-07,1.0102475300755032e-07
1979,1.328780001585983e-07,1.0615796952606615e-07
1980,1.9059177702729357e-07,1.693446876060989e-07
1981,2.2255561304973526e-07,1.2804305526969983e-07
1982,2.394508555880748e-07,1.1847599523662211e-07
1983,1.877794630900098e-07,1.1266767785400589e-07
1984,1.284028314785246e-07,1.2679895178280276e-07
1985,1.649087835176033e-07,1.424128726057461e-07
1986,1.4932793135358224e-07,1.9107156390418822e-07
1987,1.8326458928186184e-07,1.0760361845996158e-07
1988,1.1682404021939874e-07,1.0492823321328615e-07
1989,1.4422262495372706e-07,9.445959392451186e-08
1990,2.385588118158921e-07,1.4733653586063156e-07
1991,1.65136682994671e-07,1.4458952080076415e-07
1992,1.7183086242766876e-07,1.26512375686616e-07
1993,1.7690616971322015e-07,1.3754814176536456e-07
1994,1.5304918576930504e-07,1.6303607708323398e-07
1995,1.735198082997158e-07,1.519737509170227e-07
1996,2.265214504859614e-07,1.675828684710723e-07
1997,1.8214853980680346e-07,1.2243333458172856e-07
1998,2.435772046283091e-07,1.7418149411696504e-07
1999,2.4723615865696047e-07,1.5530017094533832e-07
2000,2.17232155819147e-07,1.913946903187025e-07
2001,1.9506929049839528e-07,1.528430288999516e-07
2002,2.2665005872113397e-07,1.848605393206526e-07
2003,1.7509474048438278e-07,1.6621748955003568e-07
2004,1.8623990172272897e-07,1.489754737349358e-07
2005,3.032948256986856e-07,1.6534737312667858e-07
2006,2.9866347972529184e-07,1.7981932387556299e-07
2007,2.1863728250082204e-07,1.6794425050647988e-07
2008,2.274773009958153e-07,1.7965965071198298e-07
2009,2.6297044541934156e-07,1.618279696913305e-07
2010,1.970352059288416e-07,1.2199413390590053e-07
2011,1.7557424314418313e-07,1.661121586948866e-07
2012,3.5415675370131794e-07,1.2735984000755707e-07
2013,2.384913102559949e-07,1.397225162236282e-07
2014,1.7114678030338837e-07,1.3671960630290414e-07
2015,1.9163707065672497e-07,1.4369493328558747e-07
2016,2.482306058482209e-07,1.8118102218522836e-07
2017,1.8502115040064382e-07,2.111154486783562e-07
2018,1.836373542118963e-07,1.84079965492856e-07
2019,1.5634407191100763e-07,1.7756603654106584e-07
