prev,curr,type,n
other-empty,Portrait_of_a_Man_(Raphael),external,13
other-search,Leonardo_da_Vinci,external,79096
other-empty,Raphael_Flauger,external,13
other-empty,Raphael_Hamilton,external,13
other-empty,Raphael_J._Moses,external,13
other-empty,Raphael_J._Sevilla,external,13
other-empty,Raphael_Macena,external,13
other-empty,Raphael_Pavlić,external,13
other-empty,Raphael_Ris,external,13
other-empty,Raphael_Success,external,13
other-empty,Raphael_catfish,external,13
other-empty,Raphaela_Keiser,external,13
other-empty,Richard_Raphael,external,13
other-search,Michelangelo,external,44420
other-search,David_(Michelangelo),external,34167
other-search,June_Diane_Raphael,external,28150
other-search,Pietà_(Michelangelo),external,24715
Robert_De_Niro,Raphael_De_Niro,link,24355
other-empty,Leonardo_da_Vinci,external,21799
other-empty,St._Raphael's_Girls'_Higher_Secondary_School,external,13
other-empty,The_Archangel_Raphael_and_Tobias_with_Two_Saints,external,13
other-search,Raphael,external,17513
Jon_Ossoff,Raphael_Warnock,link,13673
other-search,Raphael_Warnock,external,12132
other-search,Sally_Jessy_Raphael,external,12084
other-search,The_Last_Judgment_(Michelangelo),external,11108
June_Diane_Raphael,Paul_Scheer,link,11072
other-search,Arabelle_Raphael,external,10881
other-search,Raphael_(archangel),external,10776
other-empty,David_(Michelangelo),external,10670
other-search,Pre-Raphaelite_Brotherhood,external,10466
other-empty,Michelangelo,external,9789
other-external,SS_Michelangelo,external,13
other-external,Samson_Raphael_Hirsch,external,13
other-external,The_Deposition_(Michelangelo),external,13
Coventry_City_F.C.,Raphael_Borges_Rodrigues,link,7853
other-internal,Brutus_(Michelangelo),external,13
other-internal,Conservation-restoration_of_Leonardo_da_Vinci's_The_Last_Supper,external,13
Michelangelo,Pietà_(Michelangelo),link,7150
other-internal,Flavia_Titiana,external,13
other-search,List_of_works_by_Leonardo_da_Vinci,external,6834
Elle_(TV_series),June_Diane_Raphael,link,6567
other-search,Titian,external,6543
other-search,Donatello,external,6539
Leonardo_da_Vinci,Vitruvian_Man,link,6532
Leonardo_da_Vinci,The_Last_Supper_(Leonardo),link,6375
Paul_Scheer,June_Diane_Raphael,link,6314
Mona_Lisa,Leonardo_da_Vinci,link,6302
Michelangelo,Sistine_Chapel_ceiling,link,6265
Michelangelo,David_(Michelangelo),link,6204
other-internal,Michelangelo_(computer_virus),external,13
other-search,Raphael_Saadiq,external,5961
other-search,Raphael_Rowe,external,5958
Michelangelo,The_Last_Judgment_(Michelangelo),link,5942
Leonardo_da_Vinci,Mona_Lisa,link,5803
other-internal,Raphael_Montes,external,13
other-internal,"Salome_(Titian,_Rome)",external,13
other-search,Michelangelo_Antonioni,external,5514
other-search,Science_and_inventions_of_Leonardo_da_Vinci,external,5416
other-internal,The_Pre-Raphaelite,external,13
Leonardo_da_Vinci,Virgin_of_the_Rocks,link,5273
Michelangelo,The_Creation_of_Adam,link,5130
other-empty,June_Diane_Raphael,external,5117
other-other,List_of_paintings_by_Raphael,external,13
other-other,Piazzale_Michelangelo,external,13
other-other,Raphael_Warnock,external,13
other-other,"Risen_Christ_(Michelangelo,_Santa_Maria_sopra_Minerva)",external,13
other-empty,Pietà_(Michelangelo),external,4856
other-other,The_Michelangelo,external,13
other-other,The_Rape_of_Europa_(Titian),external,13
Leonardo_da_Vinci,Michelangelo,link,4570
Leonardo_da_Vinci,Lady_with_an_Ermine,link,4497
other-empty,Raphael,external,4440
Leonardo_da_Vinci,Polymath,link,4260
other-search,David_di_Donatello_for_Best_International_Film,external,13
Diahnne_Abbott,Raphael_De_Niro,link,4110
other-search,Raphael_Sbarge,external,4100
other-search,Vandalism_of_Michelangelo's_Pietà,external,3997
Michelangelo,Leonardo_da_Vinci,link,3981
other-search,Moses_(Michelangelo),external,3960
Michelangelo,Madonna_of_Bruges,link,3914
other-empty,Raphael_Warnock,external,3800
other-empty,Sally_Jessy_Raphael,external,3797
other-internal,Leonardo_da_Vinci,external,3773
Michelangelo,Moses_(Michelangelo),link,3668
Mary_Beard,Raphael_Cormack,link,3605
other-search,Molly_Raphael,external,13
other-search,Raphael_H._Cohen,external,13
