,Franchise,1987 series,2014 film,Mutant Mayhem,1990 film,Web intensity (sum)
2015-07-01,285564,29819,153927,,20999,490309.0
2015-08-01,288941,31731,188984,,24326,533982.0
2015-09-01,284278,29043,187020,,21666,522007.0
2015-10-01,273437,25759,80020,,17808,397024.0
2015-11-01,214244,23510,73136,,18286,329176.0
2015-12-01,266987,39044,148886,,27744,482661.0
2016-01-01,219425,30294,91314,,22557,363590.0
2016-02-01,214717,28411,82408,,20250,345786.0
2016-03-01,224883,31969,77058,,23036,356946.0
2016-04-01,224523,35694,80371,,22504,363092.0
2016-05-01,338514,46396,151477,,42309,578696.0
2016-06-01,439944,80629,229135,,76597,826305.0
2016-07-01,219225,26833,74197,,22050,342305.0
2016-08-01,205210,23324,62879,,22656,314069.0
2016-09-01,255974,29602,119077,,29233,433886.0
2016-10-01,236392,22482,78056,,20809,357739.0
2016-11-01,183878,19810,60369,,18638,282695.0
2016-12-01,194871,19447,57575,,18334,290227.0
2017-01-01,183080,22294,71820,,21184,298378.0
2017-02-01,167881,20632,61496,,21518,271527.0
2017-03-01,196156,23275,66684,,23141,309256.0
2017-04-01,156973,19471,51187,,17854,245485.0
2017-05-01,166236,19464,58324,,16894,260918.0
2017-06-01,140913,18627,54541,,19036,233117.0
2017-07-01,141749,19446,50439,,21600,233234.0
2017-08-01,138059,17870,39971,,18418,214318.0
2017-09-01,128438,16537,34681,,16561,196217.0
2017-10-01,140155,16634,35724,,17890,210403.0
2017-11-01,149459,17377,33799,,18578,219213.0
2017-12-01,120297,23207,36809,,16904,197217.0
2018-01-01,126410,18256,42612,,21768,209046.0
2018-02-01,140749,19973,42749,,21860,225331.0
2018-03-01,129787,18112,42567,,23334,213800.0
2018-04-01,122546,16711,40488,,18818,198563.0
2018-05-01,135135,17696,42778,,18355,213964.0
2018-06-01,126806,17144,51374,,18385,213709.0
2018-07-01,137780,19189,40042,,21291,218302.0
2018-08-01,146489,18154,36804,,19381,220828.0
2018-09-01,126298,16291,35069,,18195,195853.0
2018-10-01,132046,15640,30602,,18239,196527.0
