model,unit,group,prompt_type,sample_idx,raw_response,hit,hit_ambiguous
gpt-4o-mini,Leonardo da Vinci,treated,traits,0,"Curious, inventive, insightful.",0,0
gpt-4o-mini,Leonardo da Vinci,treated,traits,1,"Curious, innovative, and analytical.",0,0
gpt-4o-mini,Leonardo da Vinci,treated,traits,2,"Curious, innovative, versatile.",0,0
gpt-4o-mini,Leonardo da Vinci,treated,traits,3,"Curious, inventive, introspective.",0,0
gpt-4o-mini,Leonardo da Vinci,treated,traits,4,"Curious, inventive, insightful.",0,0
gpt-4o-mini,Leonardo da Vinci,treated,traits,5,"Curious, inventive, perceptive.",0,0
gpt-4o-mini,Leonardo da Vinci,treated,traits,6,"Curious, inventive, diverse.",0,0
gpt-4o-mini,Leonardo da Vinci,treated,traits,7,"Curious, inventive, insightful.",0,0
gpt-4o-mini,Leonardo da Vinci,treated,traits,8,"Curious, innovative, meticulous.",0,0
gpt-4o-mini,Leonardo da Vinci,treated,traits,9,"Curious, innovative, multidimensional.",0,0
gpt-4o-mini,Leonardo da Vinci,treated,traits,10,"Curious, innovative, versatile.",0,0
gpt-4o-mini,Leonardo da Vinci,treated,traits,11,"Curious, inventive, introspective.",0,0
gpt-4o-mini,Leonardo da Vinci,treated,traits,12,"Curious, innovative, versatile.",0,0
gpt-4o-mini,Leonardo da Vinci,treated,traits,13,"Curious, innovative, and versatile.",0,0
gpt-4o-mini,Leonardo da Vinci,treated,traits,14,"Curious, innovative, versatile.",0,0
gpt-4o-mini,Leonardo da Vinci,treated,traits,15,"Curious, inventive, perceptive.",0,0
gpt-4o-mini,Leonardo da Vinci,treated,traits,16,"Curious, ingenious, imaginative.",0,0
gpt-4o-mini,Leonardo da Vinci,treated,traits,17,"Curious, inventive, insightful.",0,0
gpt-4o-mini,Leonardo da Vinci,treated,traits,18,"Curious, inventive, enigmatic.",0,0
gpt-4o-mini,Leonardo da Vinci,treated,traits,19,"Curious, versatile, innovative.",0,0
gpt-4o-mini,Leonardo da Vinci,treated,traits,20,"Curious, innovative, versatile.",0,0
gpt-4o-mini,Leonardo da Vinci,treated,traits,21,"Curious, inventive, introspective.",0,0
gpt-4o-mini,Leonardo da Vinci,treated,traits,22,"Curious, innovative, meticulous.",0,0
gpt-4o-mini,Leonardo da Vinci,treated,traits,23,"Curious, imaginative, meticulous.",0,0
gpt-4o-mini,Leonardo da Vinci,treated,traits,24,"Curious, innovative, multifaceted.",0,0
gpt-4o-mini,Leonardo da Vinci,treated,traits,25,"Curious, inventive, observant.",0,0
gpt-4o-mini,Leonardo da Vinci,treated,traits,26,"Curious, inventive, introspective.",0,0
gpt-4o-mini,Leonardo da Vinci,treated,traits,27,"Curious, innovative, introspective.",0,0
gpt-4o-mini,Leonardo da Vinci,treated,traits,28,"Curious, innovative, and introspective.",0,0
gpt-4o-mini,Leonardo da Vinci,treated,traits,29,"Curious, inventive, and observant.",0,0
gpt-4o-mini,Leonardo da Vinci,treated,weapon,0,Crossbow,0,0
gpt-4o-mini,Leonardo da Vinci,treated,weapon,1,Crossbow,0,0
gpt-4o-mini,Leonardo da Vinci,treated,weapon,2,Ballista,0,0
gpt-4o-mini,Leonardo da Vinci,treated,weapon,3,Giant crossbow.,0,0
gpt-4o-mini,Leonardo da Vinci,treated,weapon,4,The crossbow.,0,0
gpt-4o-mini,Leonardo da Vinci,treated,weapon,5,Crossbow,0,0
gpt-4o-mini,Leonardo da Vinci,treated,weapon,6,The ideal war machine.,0,0
gpt-4o-mini,Leonardo da Vinci,treated,weapon,7,Crossbow,0,0
gpt-4o-mini,Leonardo da Vinci,treated,weapon,8,Crossbow,0,0
gpt-4o-mini,Leonardo da Vinci,treated,weapon,9,Crossbow,0,0
