,Donatello [it],Tiziano [it],Donatello [fr],Titien [fr]
1950,2.687638470888487e-06,4.7739331421325915e-06,3.3197429161191394e-07,1.4197540849636425e-06
1951,1.8860888530980446e-06,5.996587333356729e-06,2.9687166147596145e-07,1.0970271659971331e-06
1952,2.204615157097578e-06,3.3818796509876847e-06,1.901268262827216e-07,7.918133064777066e-07
1953,2.178562908738968e-06,7.440346053044777e-06,2.065032447262638e-07,1.0998209063473041e-06
1954,1.6659586208334076e-06,4.723755409941077e-06,3.2370897429245815e-07,1.0907743899224442e-06
1955,1.3463451296047424e-06,5.001243152946699e-06,2.378253611823311e-07,1.2301997003305587e-06
1956,2.602925860628602e-06,4.766224719787715e-06,2.765643500879378e-07,1.3778160337096779e-06
1957,1.974402493942762e-06,4.114642251806799e-06,2.448930160880991e-07,1.3039980331086554e-06
1958,2.4064104309218237e-06,3.1161855531536276e-06,3.0353803026628157e-07,8.55886980843934e-07
1959,1.6164844964805525e-06,3.128002617813763e-06,3.08166846707536e-07,7.893771112321701e-07
1960,1.653934532441781e-06,4.8517244977119844e-06,2.220035639766138e-07,1.1675369933072943e-06
1961,2.3699249140918255e-06,3.0040289402677445e-06,2.45861542680359e-07,8.172812613338465e-07
1962,2.415361677776673e-06,3.302430513940635e-06,2.3484963662667724e-07,7.724390798102831e-07
1963,2.448909299346269e-06,3.4771735499816714e-06,1.8700968951179675e-07,1.187942302749434e-06
1964,2.9987281777721364e-06,3.68333076039562e-06,2.778496366317995e-07,1.3864130323781865e-06
1965,1.148255023508682e-06,3.0174014682415873e-06,4.286467287784035e-07,1.278895410905534e-06
1966,5.973270162940025e-06,4.7350490604003426e-06,2.4522975650143053e-07,8.704552101335139e-07
1967,2.7179328299098415e-06,5.101648639538325e-06,1.2248243308476958e-07,8.244198852480622e-07
1968,2.8719684905809117e-06,3.945529897464439e-06,2.339055384936728e-07,9.605720379113336e-07
1969,1.7711895452521276e-06,1.0585914424154907e-05,2.6232615368826373e-07,1.0531877023822744e-06
1970,1.602918246135232e-06,3.45580428984249e-06,1.8654165501175157e-07,7.524444640694128e-07
1971,1.851248498496716e-06,3.4010602121270495e-06,1.3821149025261548e-07,9.253730013369932e-07
1972,1.3103410765324952e-06,3.337515863677254e-06,2.6287415266779135e-07,1.4314829286377062e-06
1973,1.3211671330282115e-06,2.777248027996393e-06,2.1282843931658135e-07,9.873483577393927e-07
1974,1.800130917217757e-06,3.267611646151636e-06,1.3365338702442386e-07,7.56990061745455e-07
