,Donatello,Leonardo da Vinci,Michelangelo,Raphael,the painter Raphael,the sculptor Donatello,Michelangelo Buonarroti,Titian,Caravaggio,Botticelli,Verrocchio,Ghirlandaio,Fra Angelico,Masaccio,Giovanni Bellini,Michaelangelo,the divine Michelangelo,Renaissance art,Leonardo and Michelangelo,Michelangelo and Raphael,Raphael and Donatello,Lorenzo Ghiberti,Luca della Robbia,Andrea del Sarto,Mantegna,Tintoretto,Perugino,Teenage Mutant Ninja Turtles,Ninja Turtles,TMNT
1900,3.09296240175172e-07,3.164326187743427e-07,4.303091714064067e-07,2.947599341496243e-06,3.645536983398756e-09,1.02075037311522e-09,2.0414884005504064e-08,9.040304576046764e-07,6.899212223743234e-08,3.741070315754769e-07,6.149030440383285e-08,2.8900442927692893e-08,2.747336225183972e-07,8.510258453497954e-08,7.9124355067961e-08,2.1890548040914843e-08,1.4582147989106176e-10,2.6419261445198572e-08,4.08300149246088e-09,4.5204657794784e-09,0.0,1.1208171279974977e-08,8.457645606085863e-08,1.773189239884232e-07,1.352786682673468e-07,2.187825032251567e-07,3.235619772112841e-07,3.214985222488309e-10,6.67153055022851e-10,1.2298061180526787e-10
1901,2.614486334096e-07,2.710299611408118e-07,4.460144396034593e-07,2.435093165331637e-06,5.58824653218437e-10,6.985307887674708e-10,1.9024113839805068e-08,7.052294677123427e-07,4.7140694903191616e-08,3.476185383988195e-07,4.4201748039540696e-08,1.7281001518654193e-08,2.483349135218305e-07,8.170269438778632e-08,7.52027062844718e-08,1.986727404812428e-08,4.1911848991382783e-10,2.9238403698172988e-08,4.8897157434169e-09,6.1470712964251115e-09,2.7941232660921845e-10,1.7747327163419868e-08,9.541930978684833e-08,1.438973527001508e-07,3.6442929740587726e-07,1.719871107752624e-07,2.4252182129203e-07,3.0847085996654755e-10,3.830358530354516e-10,1.1755783846378876e-10
1902,2.583907701136923e-07,3.270636739216571e-07,3.5625541272565897e-07,2.5083384116442176e-06,1.9542856222187766e-09,1.3959183808864848e-10,1.0072857214993292e-08,7.218982887025049e-07,4.271309705927706e-08,3.18822770850602e-07,4.529465869040905e-08,2.3468734511311595e-08,2.9517295274672506e-07,6.723792722596046e-08,5.7759546479019264e-08,2.053514336353146e-08,0.0,3.264115733259132e-08,9.771428111093883e-10,3.350204114127564e-09,0.0,6.502730354185361e-09,6.518938988619993e-08,9.464326922170585e-08,2.774004599359614e-07,1.886886309421243e-07,2.5322765395685565e-07,0.0,0.0,0.0
1903,3.968846158386441e-07,4.916640250485216e-07,5.092493324809766e-07,2.661016878846567e-06,1.9114956284482787e-09,0.0,2.2298895174799327e-08,9.284694897360168e-07,6.517383610571414e-08,4.462517892989127e-07,5.349065546056409e-08,3.963119254990488e-08,2.465336024215503e-07,8.086595926215524e-08,5.41900533335138e-08,2.5313564577800207e-08,0.0,2.0679422618741228e-08,2.7307081040817142e-09,7.782518629539936e-09,0.0,1.2582058062093893e-08,6.321589296476304e-08,1.3721808045374928e-07,1.7123882400937873e-07,2.777619556582067e-07,2.616116887566023e-07,0.0,0.0,2.2908203112237402e-10
1904,3.426090415814542e-07,3.623623001658416e-07,4.428684405866079e-07,2.432916744510294e-06,7.981548755253696e-10,1.3302581258756163e-10,1.8254608491474755e-08,1.0031548072220176e-06,6.112010453307448e-08,3.875799734487373e-07,1.1360489793332817e-07,2.85974817160195e-08,2.042082201114681e-07,7.726927009343856e-08,5.3425154078468053e-08,2.2092956797337138e-08,2.6605162517512326e-10,1.8863095974097632e-08,1.995387188813424e-09,6.119187379027835e-09,0.0,1.4603686260272752e-08,6.571475097416625e-08,1.457962923723244e-07,1.501648085877605e-07,2.5334003339594346e-07,2.001823702357797e-07,0.0,0.0,0.0
1905,2.400717562522914e-07,2.823584850375483e-07,4.486604439080111e-07,2.6133091068913927e-06,9.004599288431334e-10,2.57274257453588e-10,1.5749071380355417e-08,1.1904053280886728e-06,7.692248971125083e-08,3.215381809695828e-07,1.8586896999295282e-07,3.4620530442452946e-08,1.9862635269873866e-07,1.021305635617864e-07,6.299628552142167e-08,1.5146481402439352e-08,0.0,2.8794945095000912e-08,2.4441053625423592e-09,9.133236389402556e-09,0.0,8.227127423765523e-09,5.377032152864558e-08,1.2709348595763006e-07,2.01448216330391e-07,2.60952248254398e-07,2.3444590624421838e-07,1.4206216758516632e-10,1.175303881995049e-10,0.0
1906,1.920914485253889e-07,3.2220111734204693e-07,3.590378696571861e-07,2.763787733783829e-06,1.843959207548096e-09,1.2293061013579631e-10,2.5450738405652373e-08,8.386481908928545e-07,4.0293858916129466e-08,3.2317529985448346e-07,7.110681110589212e-08,3.0297684361357824e-08,1.698584526366176e-07,7.543505375906534e-08,5.3255948984087815e-08,1.7003802810222624e-08,1.5980978762542004e-09,2.3993205644501362e-08,7.375836608147778e-10,4.9172244054318526e-09,1.2293061013579631e-10,1.3678370436309706e-08,5.999013552582255e-08,1.1469425942323141e-07,1.7673649210792067e-07,1.7477847791269596e-07,1.5911437856175328e-07,0.0,0.0,2.0610670115051022e-10
1907,2.200415991637783e-07,3.285186380708183e-07,3.543568709574174e-07,2.5261974769819062e-06,2.4193234082758863e-09,0.0,1.3723225222861402e-08,7.668278385608573e-07,4.762573624361721e-08,3.7212288361843093e-07,9.09705093476987e-08,2.2582090863920712e-08,2.0352240426291249e-07,1.1719141923549617e-07,6.501087312926758e-08,1.6481715547911335e-08,1.2733281096188875e-10,1.988704667610364e-08,2.928654652123441e-09,7.385303035789548e-09,0.0,1.1397254695566517e-08,5.7554430554773723e-08,1.0479490697434812e-07,1.459809055859296e-07,1.847236461571811e-07,2.697007914775895e-07,0.0,0.0,0.0
1908,2.009464026286878e-07,2.69023900045795e-07,3.790001699144341e-07,2.264742306579137e-06,6.059097112931511e-10,3.6354580457143015e-10,1.1172228475686552e-08,5.907315312470018e-07,3.693343941790772e-08,4.970244162905146e-07,7.518956834928758e-08,1.2300972684897718e-07,1.5430948963057745e-07,1.0937588967863121e-07,4.54632242963271e-08,1.7093162441028653e-08,4.847277579322904e-10,2.8207111313349745e-08,1.2118194225863022e-09,4.726095514939743e-09,0.0,1.3273934840185577e-08,5.2956508511670115e-08,1.033681940043607e-07,1.014397810195078e-07,2.4520548436157696e-07,1.4773375767163088e-07,0.0,0.0,0.0
1909,1.1416733514124645e-07,2.775629752704845e-07,3.277381210864405e-07,2.2930544218979776e-06,6.005256847352314e-10,2.4021026834297743e-10,1.196813670389929e-08,5.598142820417706e-07,4.90444271861179e-08,2.812217587688792e-07,4.772983430711975e-08,8.66620055717249e-08,1.397746558495783e-07,8.160587583461165e-08,4.117478269449748e-08,1.3044806124185016e-08,8.40735925322633e-10,2.0752089824327413e-08,1.321156517519739e-09,3.6031539973890862e-09,0.0,8.564354558870946e-09,3.2308282271742434e-08,9.42825337801878e-08,1.0880783918310045e-07,1.571444130377131e-07,2.031551531445075e-07,0.0,0.0,0.0
