,Donatello [en-US],Luca della Robbia [en-US],Titian [en-US],Donatello [en-GB],Luca della Robbia [en-GB],Titian [en-GB]
1950,1.102801121533048e-07,1.80066255239808e-08,3.8637065813418303e-07,1.8433195236866595e-07,2.0787545906841842e-08,1.063412128132768e-06
1951,9.619532193028135e-08,1.3894608130726738e-08,3.340083765124291e-07,1.551101007635225e-07,1.684656503186943e-08,5.387453825278499e-07
1952,9.352952901053868e-08,1.5003525533074935e-08,2.6764013227875694e-07,1.0861450050470012e-07,1.8624133346634153e-08,6.453599326050607e-07
1953,9.316657667568506e-08,9.577016513162562e-09,3.025786838861677e-07,2.2189573201103485e-07,4.0534629874855455e-08,5.322160632204032e-07
1954,1.0291834939835098e-07,1.0004047368283864e-08,2.6992424295713136e-07,1.4726680319654406e-07,2.5259396352339536e-08,5.496414132721839e-07
1955,9.467502337656697e-08,1.0200157163353651e-08,2.7658106205308286e-07,1.5900492655873677e-07,1.1150746992427685e-08,6.371316203512833e-07
1956,9.744643847398038e-08,8.34990476761277e-09,3.20456678082337e-07,1.225869681320546e-07,1.151533179921671e-08,6.17274224623543e-07
1957,2.8052667744304927e-07,1.4618720456383016e-08,3.064674274355639e-07,2.0131147948632133e-07,4.153055854771992e-08,6.775321708119009e-07
1958,1.6401610025695845e-07,2.5554603766408945e-08,3.5550044685805915e-07,3.512174941988633e-07,4.6632532502144386e-08,4.7452897433686303e-07
1959,1.5039296386021306e-07,1.6164861449396994e-08,3.477436791854416e-07,2.3277159755252796e-07,3.3423898315732004e-08,5.327085546014132e-07
1960,1.7326466661415907e-07,2.928382869527013e-08,4.4069113869227294e-07,1.3899138195938576e-07,2.2505037833298047e-08,5.215662781665742e-07
1961,1.0687101337225613e-07,1.0902671654378082e-08,2.963615202133951e-07,1.874072950158734e-07,2.1108776948608465e-08,5.736770845032879e-07
1962,1.4103179069024918e-07,2.631334794500617e-08,3.8345314123944263e-07,1.380300744813212e-07,1.9621143820813813e-08,5.895130357203016e-07
1963,1.42642107903157e-07,1.8530769807512115e-08,3.4273620030944585e-07,1.4844977158645634e-07,2.0169041548001587e-08,5.417743977886857e-07
1964,2.1696833130135929e-07,2.508789442856596e-08,4.4044276137356064e-07,3.6637675293604843e-07,8.033456566636232e-08,5.142338181940431e-07
1965,1.6770822242051509e-07,1.2391615733520212e-08,3.0956456953390443e-07,2.443393327666854e-07,1.4438922946169441e-08,7.203100267361151e-07
1966,1.3279858990244975e-07,2.1022376728296877e-08,2.855169611848396e-07,3.4570783213894174e-07,3.79698548158558e-08,3.975372919740039e-07
1967,1.1241548492080256e-07,9.922705324072467e-09,3.403183939099108e-07,2.672436494322028e-07,1.6584522199991625e-08,6.399512813004549e-07
1968,1.7709605515392468e-07,3.518255553558447e-08,5.152038511369028e-07,5.659074417962984e-07,8.948773455585979e-08,1.4362638012244133e-06
1969,1.1523450638151189e-07,1.472041954997394e-08,4.1456812027718115e-07,2.056213475043478e-07,2.5271745585087046e-08,2.1517344066523947e-06
1970,1.4883994481351692e-07,1.0729164223732823e-08,3.926569718259998e-07,4.3789009396277834e-07,6.505836580572577e-08,8.243254683293344e-07
1971,1.3452407188196958e-07,1.5491183447124968e-08,3.57738429102028e-07,1.3495795769813412e-07,3.12521848400138e-08,2.140047627108288e-06
1972,1.2478601263410383e-07,2.941705012915463e-08,3.088493940595072e-07,1.6643134870264475e-07,2.0289453672717173e-08,6.806544661230873e-07
1973,1.1646814357391122e-07,1.8114864275275977e-08,3.009210161053488e-07,1.3061767845101713e-07,2.48258267276924e-08,4.59320858681167e-07
1974,1.1346931927391779e-07,8.821652741630714e-09,2.735323221259023e-07,2.713297817535931e-07,2.2376863029194283e-08,8.554509349778527e-07
1975,1.3998879921928165e-07,1.2044425012902593e-08,2.2066031135636877e-07,1.3571573731496755e-07,1.145079409070604e-08,9.368947644361469e-07
1976,1.4339393317186477e-07,1.0384408888342023e-08,2.8160067699900537e-07,2.3113915403882856e-07,3.8919544920190674e-08,1.462423597331508e-06
1977,1.0670164840576035e-07,1.0369531899812046e-08,3.050428176720743e-07,1.3970689849429618e-07,1.1449962755705201e-08,8.412784495703818e-07
1978,9.491262176197779e-08,7.491872011655687e-09,2.5694347982607724e-07,2.6528175567364087e-07,3.320520747251976e-08,7.39936467653024e-07
1979,1.1025465340708251e-07,1.1198642901888434e-08,3.123770966340089e-07,1.585999171993535e-07,2.386312125679524e-08,4.699565749888279e-07
1980,1.4821129923348053e-07,1.0987736942524862e-08,2.972780634991068e-07,3.673486332900211e-07,2.245703285552736e-07,9.795963933356688e-07
1981,1.5277967690963123e-07,1.6854558637646733e-08,2.967683201404725e-07,1.431191378742369e-07,3.814548676928098e-08,6.2593068150818e-07
1982,1.336509996008317e-07,1.041145658575715e-08,2.475018732184253e-07,1.629416743753609e-07,2.038133395387831e-08,6.712737672387448e-07
