,Donatello,Luca della Robbia,Titian
2023-06-01,1012,44,734
2023-06-02,950,28,702
2023-06-03,801,35,731
2023-06-04,1003,52,736
2023-06-05,1005,47,802
2023-06-06,962,37,750
2023-06-07,900,35,712
2023-06-08,944,49,705
2023-06-09,834,42,702
2023-06-10,990,44,635
2023-06-11,937,37,740
2023-06-12,942,59,721
2023-06-13,821,49,778
2023-06-14,801,34,705
2023-06-15,740,25,703
2023-06-16,719,34,630
2023-06-17,689,36,656
2023-06-18,894,21,664
2023-06-19,745,39,715
2023-06-20,751,40,709
2023-06-21,778,42,757
2023-06-22,749,27,769
2023-06-23,727,45,758
2023-06-24,680,37,688
2023-06-25,1040,31,683
2023-06-26,1396,48,749
2023-06-27,990,30,731
2023-06-28,890,37,686
2023-06-29,888,31,715
2023-06-30,747,17,921
2023-07-01,741,40,728
2023-07-02,821,37,676
2023-07-03,819,39,797
2023-07-04,779,29,706
2023-07-05,755,33,692
2023-07-06,738,38,722
2023-07-07,661,22,691
2023-07-08,836,41,728
2023-07-09,869,41,745
2023-07-10,749,28,789
2023-07-11,772,44,717
2023-07-12,781,42,684
2023-07-13,744,29,675
2023-07-14,720,31,672
2023-07-15,720,31,607
2023-07-16,761,43,751
2023-07-17,817,31,714
2023-07-18,765,25,654
2023-07-19,669,28,711
2023-07-20,689,47,654
2023-07-21,679,22,797
2023-07-22,784,35,686
2023-07-23,739,44,710
2023-07-24,790,50,752
2023-07-25,829,50,739
2023-07-26,773,42,727
2023-07-27,730,38,720
2023-07-28,832,39,713
2023-07-29,838,46,691
2023-07-30,818,38,700
2023-07-31,772,36,621
2023-08-01,814,27,698
2023-08-02,965,35,682
2023-08-03,936,26,686
2023-08-04,911,36,675
2023-08-05,891,26,739
2023-08-06,1014,31,722
2023-08-07,930,35,767
2023-08-08,1005,33,722
2023-08-09,912,31,701
2023-08-10,887,34,684
2023-08-11,865,34,706
2023-08-12,977,34,713
2023-08-13,957,34,762
2023-08-14,830,26,723
2023-08-15,911,36,837
2023-08-16,916,29,769
2023-08-17,841,41,689
2023-08-18,839,24,648
2023-08-19,892,25,736
2023-08-20,890,33,711
2023-08-21,889,40,744
2023-08-22,861,38,699
2023-08-23,855,44,702
2023-08-24,817,29,719
2023-08-25,897,25,656
2023-08-26,787,29,649
2023-08-27,851,39,994
2023-08-28,992,43,707
2023-08-29,896,47,798
2023-08-30,969,32,655
2023-08-31,918,24,696
2023-09-01,827,30,671
2023-09-02,893,39,647
2023-09-03,1041,39,701
2023-09-04,891,33,817
2023-09-05,1052,40,748
2023-09-06,1093,26,691
2023-09-07,1015,34,805
2023-09-08,958,39,776
2023-09-09,836,34,664
2023-09-10,869,36,801
2023-09-11,951,51,841
2023-09-12,888,34,845
2023-09-13,1024,42,786
2023-09-14,987,39,798
2023-09-15,864,37,723
2023-09-16,809,38,728
2023-09-17,849,32,764
2023-09-18,906,29,856
2023-09-19,997,39,892
2023-09-20,1118,50,806
2023-09-21,988,45,960
2023-09-22,945,18,766
2023-09-23,806,37,833
2023-09-24,963,72,741
2023-09-25,1052,29,843
2023-09-26,993,37,1215
2023-09-27,960,48,946
2023-09-28,938,35,772
2023-09-29,918,29,768
2023-09-30,833,36,705
2023-10-01,855,47,763
2023-10-02,1049,50,867
2023-10-03,914,38,842
2023-10-04,1025,35,865
2023-10-05,975,43,880
2023-10-06,971,50,725
2023-10-07,732,31,731
2023-10-08,839,36,730
2023-10-09,894,44,853
2023-10-10,877,26,822
2023-10-11,949,37,803
2023-10-12,927,32,816
2023-10-13,842,32,754
2023-10-14,598,36,709
2023-10-15,787,39,864
2023-10-16,927,23,861
2023-10-17,1014,38,881
2023-10-18,1020,53,849
2023-10-19,997,39,928
2023-10-20,933,32,870
2023-10-21,699,38,834
2023-10-22,774,48,875
2023-10-23,969,43,881
2023-10-24,931,28,838
2023-10-25,914,37,785
2023-10-26,973,28,822
2023-10-27,833,43,812
2023-10-28,700,28,752
2023-10-29,745,39,802
2023-10-30,953,45,793
2023-10-31,965,38,758
2023-11-01,942,37,850
2023-11-02,931,39,802
2023-11-03,920,47,744
2023-11-04,865,35,753
2023-11-05,786,43,878
2023-11-06,971,40,876
2023-11-07,1098,43,898
2023-11-08,1018,41,824
2023-11-09,1012,42,826
2023-11-10,982,29,799
2023-11-11,1186,119,766
2023-11-12,1030,40,888
2023-11-13,1281,45,938
2023-11-14,1300,40,934
2023-11-15,1221,37,962
2023-11-16,1111,32,848
2023-11-17,947,48,742
2023-11-18,881,30,687
2023-11-19,1010,29,917
2023-11-20,1220,44,1014
2023-11-21,1354,44,947
2023-11-22,1262,44,897
2023-11-23,1153,34,815
2023-11-24,775,26,721
2023-11-25,687,26,920
2023-11-26,820,32,898
2023-11-27,1148,42,942
2023-11-28,1167,45,924
2023-11-29,1360,43,899
2023-11-30,1162,34,852
2023-12-01,1015,37,891
2023-12-02,767,40,821
2023-12-03,967,56,852
2023-12-04,1170,106,925
2023-12-05,1165,51,847
2023-12-06,1221,66,902
2023-12-07,961,34,836
2023-12-08,884,40,846
2023-12-09,688,39,806
2023-12-10,868,50,931
2023-12-11,1044,45,790
2023-12-12,1163,32,934
2023-12-13,1146,34,871
2023-12-14,994,44,816
2023-12-15,986,33,761
2023-12-16,830,36,728
2023-12-17,752,44,747
2023-12-18,957,39,844
2023-12-19,858,43,826
2023-12-20,715,40,809
2023-12-21,681,30,736
2023-12-22,751,33,749
2023-12-23,703,26,671
2023-12-24,624,32,664
2023-12-25,710,23,723
2023-12-26,654,31,776
2023-12-27,705,32,785
2023-12-28,672,32,759
2023-12-29,704,31,775
2023-12-30,723,35,859
2023-12-31,769,25,882
2024-01-01,720,24,746
2024-01-02,839,40,995
2024-01-03,906,48,909
2024-01-04,932,33,801
2024-01-05,970,50,986
2024-01-06,837,40,877
2024-01-07,996,30,886
2024-01-08,1064,31,926
2024-01-09,1137,37,833
2024-01-10,1264,43,897
2024-01-11,1117,35,896
2024-01-12,949,46,867
2024-01-13,771,38,786
2024-01-14,1012,38,873
2024-01-15,1033,62,825
2024-01-16,1000,69,886
2024-01-17,1100,47,863
2024-01-18,1169,44,1092
2024-01-19,954,33,852
2024-01-20,850,41,830
2024-01-21,1077,45,942
2024-01-22,1190,46,818
2024-01-23,987,49,887
2024-01-24,957,35,892
2024-01-25,1016,54,857
2024-01-26,863,33,826
2024-01-27,748,45,766
2024-01-28,5192,43,833
2024-01-29,1624,40,924
2024-01-30,1321,52,859
2024-01-31,1263,41,949
2024-02-01,1131,31,920
2024-02-02,1012,42,838
2024-02-03,754,29,873
2024-02-04,1133,32,889
2024-02-05,991,43,871
2024-02-06,1226,39,955
2024-02-07,1123,36,953
2024-02-08,970,46,867
2024-02-09,921,77,847
2024-02-10,814,41,771
2024-02-11,982,58,818
2024-02-12,987,32,995
2024-02-13,977,51,956
2024-02-14,1058,36,809
2024-02-15,958,32,829
2024-02-16,902,30,859
2024-02-17,798,41,828
2024-02-18,981,51,923
2024-02-19,1032,60,931
2024-02-20,1020,49,866
2024-02-21,962,47,834
2024-02-22,939,44,848
2024-02-23,900,49,847
2024-02-24,837,26,858
2024-02-25,859,32,864
2024-02-26,1027,54,957
2024-02-27,1109,37,934
2024-02-28,971,22,903
2024-02-29,970,36,835
2024-03-01,870,36,832
2024-03-02,761,33,795
2024-03-03,785,50,855
2024-03-04,883,41,893
2024-03-05,991,38,939
2024-03-06,919,50,885
2024-03-07,834,42,867
2024-03-08,872,35,787
2024-03-09,1056,40,753
2024-03-10,1197,62,854
2024-03-11,997,34,844
2024-03-12,831,40,940
2024-03-13,898,28,801
2024-03-14,1538,46,833
2024-03-15,889,32,766
2024-03-16,708,32,777
2024-03-17,833,45,855
2024-03-18,963,40,857
2024-03-19,869,39,875
2024-03-20,810,29,855
2024-03-21,902,28,841
2024-03-22,788,39,815
2024-03-23,709,22,784
2024-03-24,777,37,863
2024-03-25,799,56,887
2024-03-26,767,43,882
2024-03-27,838,45,849
2024-03-28,1593,47,849
2024-03-29,862,38,848
2024-03-30,685,45,826
2024-03-31,736,25,877
2024-04-01,778,38,885
2024-04-02,804,33,845
2024-04-03,881,43,908
2024-04-04,812,55,969
2024-04-05,767,26,892
2024-04-06,634,52,778
2024-04-07,796,35,841
2024-04-08,769,34,827
2024-04-09,832,35,875
2024-04-10,893,39,833
2024-04-11,844,42,868
2024-04-12,814,32,822
2024-04-13,764,40,698
2024-04-14,841,35,888
2024-04-15,926,53,996
2024-04-16,959,45,922
2024-04-17,861,34,816
2024-04-18,854,43,829
2024-04-19,769,46,925
2024-04-20,683,51,795
2024-04-21,761,35,855
2024-04-22,990,33,912
2024-04-23,987,43,867
2024-04-24,829,52,931
2024-04-25,859,50,881
2024-04-26,983,28,806
2024-04-27,726,32,816
2024-04-28,788,32,913
2024-04-29,876,32,921
2024-04-30,894,38,928
2024-05-01,1004,37,842
2024-05-02,837,42,929
2024-05-03,918,37,916
2024-05-04,761,29,787
2024-05-05,727,29,769
2024-05-06,852,28,869
2024-05-07,822,46,908
2024-05-08,830,48,814
2024-05-09,742,37,1079
2024-05-10,718,42,846
2024-05-11,537,24,676
2024-05-12,725,37,807
2024-05-13,859,44,3282
2024-05-14,818,33,1635
2024-05-15,868,41,1048
2024-05-16,770,39,1018
2024-05-17,717,24,855
2024-05-18,585,30,805
2024-05-19,715,55,933
2024-05-20,766,53,1037
2024-05-21,834,51,885
2024-05-22,808,48,776
2024-05-23,668,38,771
2024-05-24,659,37,768
2024-05-25,633,23,867
2024-05-26,814,23,941
2024-05-27,754,38,909
2024-05-28,861,37,857
2024-05-29,738,35,896
2024-05-30,759,41,804
2024-05-31,667,28,722
2024-06-01,599,36,662
2024-06-02,661,32,779
2024-06-03,710,26,848
2024-06-04,619,55,744
2024-06-05,686,40,746
2024-06-06,597,35,741
2024-06-07,530,32,709
2024-06-08,585,27,703
2024-06-09,679,47,710
2024-06-10,671,70,2313
2024-06-11,661,30,788
2024-06-12,572,34,684
2024-06-13,573,33,1130
2024-06-14,525,30,844
2024-06-15,489,22,824
2024-06-16,508,43,843
2024-06-17,625,36,880
2024-06-18,627,36,751
2024-06-19,639,36,701
2024-06-20,579,31,694
2024-06-21,607,39,4477
2024-06-22,522,30,785
2024-06-23,558,63,758
2024-06-24,605,35,780
2024-06-25,575,30,680
2024-06-26,560,27,658
2024-06-27,542,28,650
2024-06-28,499,35,651
2024-06-29,523,22,704
2024-06-30,512,41,791
2024-07-01,554,38,667
2024-07-02,577,39,766
2024-07-03,550,37,1030
2024-07-04,492,33,1279
2024-07-05,524,41,851
2024-07-06,571,27,793
2024-07-07,509,32,785
2024-07-08,529,38,765
2024-07-09,561,28,690
2024-07-10,568,31,675
2024-07-11,540,22,657
2024-07-12,487,31,646
2024-07-13,517,36,1156
2024-07-14,550,33,807
2024-07-15,459,31,725
2024-07-16,523,55,729
2024-07-17,485,23,711
2024-07-18,555,31,620
2024-07-19,459,23,667
2024-07-20,528,33,679
2024-07-21,528,31,721
2024-07-22,537,29,653
2024-07-23,518,38,741
2024-07-24,525,31,645
2024-07-25,483,43,594
2024-07-26,515,34,650
2024-07-27,569,30,702
2024-07-28,622,37,814
2024-07-29,539,37,820
2024-07-30,536,35,690
2024-07-31,560,38,684
2024-08-01,515,35,659
2024-08-02,452,41,604
2024-08-03,540,52,646
2024-08-04,546,44,648
2024-08-05,570,43,648
2024-08-06,485,25,595
2024-08-07,526,34,646
2024-08-08,506,33,679
2024-08-09,456,40,633
2024-08-10,485,34,608
2024-08-11,486,30,616
2024-08-12,539,24,658
2024-08-13,554,31,665
2024-08-14,607,44,692
2024-08-15,528,26,704
2024-08-16,552,32,652
2024-08-17,520,38,623
2024-08-18,589,37,694
2024-08-19,626,34,631
2024-08-20,588,32,631
2024-08-21,656,29,734
2024-08-22,622,29,630
2024-08-23,636,33,650
2024-08-24,590,29,655
2024-08-25,6005,35,730
2024-08-26,773,34,795
2024-08-27,715,41,957
2024-08-28,725,37,782
2024-08-29,744,34,762
2024-08-30,681,39,750
2024-08-31,626,47,690
