,Leonardo da Vinci,Michelangelo,Raphael,Donatello,Luca della Robbia,Masaccio,Titian,Donatello (TMNT),Michelangelo (TMNT)
2023-06-01,9336,4787,1995,1012,44,119,734,810,755
2023-06-02,8545,4271,1819,950,28,150,702,703,599
2023-06-03,8290,4147,1636,801,35,145,731,729,627
2023-06-04,8949,4697,1714,1003,52,130,736,676,628
2023-06-05,9205,4706,1812,1005,47,144,802,659,634
2023-06-06,9316,4771,1893,962,37,166,750,677,571
2023-06-07,9359,4594,1772,900,35,172,712,602,556
2023-06-08,9163,4352,1786,944,49,151,705,601,530
2023-06-09,8318,4189,1751,834,42,149,702,579,537
2023-06-10,7936,5106,1637,990,44,141,635,576,543
2023-06-11,8687,4739,1833,937,37,148,740,664,554
2023-06-12,8970,4499,1939,942,59,151,721,608,494
2023-06-13,8703,4330,1900,821,49,141,778,584,510
2023-06-14,8503,4262,2039,801,34,149,705,538,471
2023-06-15,8711,4124,1903,740,25,172,703,551,514
2023-06-16,7725,3915,1572,719,34,117,630,574,494
2023-06-17,8088,3856,1557,689,36,121,656,528,504
2023-06-18,8279,4143,1777,894,21,143,664,612,512
2023-06-19,8053,3890,1721,745,39,167,715,514,499
2023-06-20,8471,4287,1670,751,40,149,709,567,506
2023-06-21,8624,4099,1725,778,42,163,757,613,522
2023-06-22,8131,3770,1711,749,27,98,769,601,499
2023-06-23,8073,3743,1573,727,45,117,758,597,486
2023-06-24,7549,3635,1516,680,37,94,688,608,480
2023-06-25,8568,4186,2128,1040,31,168,683,600,549
2023-06-26,8559,4502,2319,1396,48,122,749,964,755
2023-06-27,8319,4019,1851,990,30,100,731,748,642
2023-06-28,7822,4031,2187,890,37,124,686,721,576
2023-06-29,7834,3863,1698,888,31,117,715,665,577
2023-06-30,7207,3729,1582,747,17,115,921,595,544
2023-07-01,7279,3530,1581,741,40,124,728,641,555
2023-07-02,8247,3847,1828,821,37,119,676,603,602
2023-07-03,8464,3922,1814,819,39,125,797,718,560
2023-07-04,8176,3802,1665,779,29,128,706,645,526
2023-07-05,8183,4255,1673,755,33,146,692,601,526
2023-07-06,7915,5256,1649,738,38,153,722,666,585
2023-07-07,7511,4008,1519,661,22,107,691,676,564
2023-07-08,10879,4135,1924,836,41,128,728,625,586
2023-07-09,8727,4351,1822,869,41,126,745,659,616
2023-07-10,9137,4865,1705,749,28,118,789,636,633
2023-07-11,8215,4227,1639,772,44,126,717,770,683
2023-07-12,8747,4408,1673,781,42,127,684,731,640
2023-07-13,8028,3961,1621,744,29,151,675,788,726
2023-07-14,8147,4156,1528,720,31,138,672,749,720
2023-07-15,8327,3895,1601,720,31,113,607,739,719
2023-07-16,8502,3894,1659,761,43,113,751,851,795
2023-07-17,8265,4053,1678,817,31,117,714,801,721
2023-07-18,8020,4031,1678,765,25,157,654,819,752
2023-07-19,8133,3470,1643,669,28,105,711,839,720
2023-07-20,7953,3857,1511,689,47,120,654,791,831
2023-07-21,7350,3539,1558,679,22,159,797,830,873
2023-07-22,7561,3835,1585,784,35,156,686,923,857
2023-07-23,8376,4223,1516,739,44,127,710,832,852
2023-07-24,8044,3910,1764,790,50,164,752,988,985
2023-07-25,8450,4617,3120,829,50,133,739,1003,1045
2023-07-26,9055,4039,1847,773,42,146,727,867,899
2023-07-27,8268,3868,2050,730,38,111,720,1279,1192
2023-07-28,7999,4110,2104,832,39,119,713,1913,1622
2023-07-29,7829,4097,1979,838,46,123,691,1430,1319
2023-07-30,8507,4005,1936,818,38,150,700,1313,1169
2023-07-31,8447,3961,1791,772,36,136,621,1313,1245
2023-08-01,7737,3946,1740,814,27,127,698,1701,1585
2023-08-02,8030,4335,1841,965,35,142,682,2216,2195
2023-08-03,7822,3937,1790,936,26,108,686,2205,1821
2023-08-04,7869,4138,1827,911,36,138,675,2099,1812
2023-08-05,8284,4032,1961,891,26,142,739,2306,2025
2023-08-06,8248,4462,1996,1014,31,134,722,2239,1950
2023-08-07,7986,4513,1980,930,35,107,767,2029,1830
2023-08-08,7799,4352,1708,1005,33,137,722,1756,1594
2023-08-09,7939,3954,1853,912,31,116,701,1713,1509
2023-08-10,8152,4174,1695,887,34,128,684,1571,1370
2023-08-11,7540,4172,1729,865,34,137,706,1596,1582
2023-08-12,7689,4838,1824,977,34,109,713,1726,2068
2023-08-13,8227,4579,1951,957,34,126,762,1673,1739
2023-08-14,8037,3845,1707,830,26,111,723,1443,1566
2023-08-15,8014,4027,1672,911,36,124,837,1405,1568
2023-08-16,8198,3826,1931,916,29,137,769,1455,2232
2023-08-17,8344,4029,1858,841,41,128,689,1340,2181
2023-08-18,7908,3959,1849,839,24,130,648,1394,1963
2023-08-19,8620,4015,1806,892,25,108,736,1370,1811
2023-08-20,8207,4190,1772,890,33,106,711,1396,2089
2023-08-21,8901,4183,1870,889,40,138,744,1259,2205
2023-08-22,8676,4202,1950,861,38,148,699,1165,1552
2023-08-23,8588,4132,1868,855,44,111,702,1121,1454
2023-08-24,8596,4185,1761,817,29,147,719,1021,1323
2023-08-25,8566,3782,1732,897,25,142,656,1054,1242
2023-08-26,8133,3992,1584,787,29,113,649,1096,1182
2023-08-27,8906,3677,1789,851,39,132,994,1317,1263
2023-08-28,10228,4135,1833,992,43,197,707,1302,1201
2023-08-29,8621,4039,1909,896,47,171,798,1153,1117
2023-08-30,8662,3862,1898,969,32,152,655,995,1056
2023-08-31,8516,3904,1910,918,24,148,696,1012,1003
2023-09-01,7923,3605,1782,827,30,149,671,1069,1195
2023-09-02,7527,4299,1635,893,39,149,647,1372,1462
2023-09-03,8384,5520,1812,1041,39,126,701,1469,1457
2023-09-04,8635,4516,1894,891,33,169,817,1346,1329
2023-09-05,8965,4983,1957,1052,40,155,748,1084,1118
2023-09-06,9068,5506,1927,1093,26,149,691,1006,1058
2023-09-07,8948,5317,1942,1015,34,175,805,1375,1364
2023-09-08,8605,5014,1987,958,39,182,776,1128,1136
2023-09-09,9005,4493,1785,836,34,170,664,1190,1207
2023-09-10,9246,4555,1835,869,36,170,801,1268,1216
2023-09-11,9695,4824,2040,951,51,223,841,1048,1064
2023-09-12,10012,4719,2102,888,34,166,845,965,932
2023-09-13,9867,4678,2136,1024,42,174,786,942,943
