,Leonardo da Vinci,Michelangelo,Raphael,Donatello,Titian,Tintoretto,Mantegna,Masaccio,Andrea del Sarto,Luca della Robbia,Verrocchio,Ghirlandaio,Perugino,Lorenzo Ghiberti,Botticelli,Fra Angelico,Giovanni Bellini,Leonardo (TMNT),Michelangelo (TMNT),Raphael (TMNT),Donatello (TMNT)
2015-07-01,263884,129417,74909,25940,27039,7879,4739,6328,3091,1329,4469,4102,2919,5663,24710,6961,6251,30571,25565,30451,33673
2015-08-01,283849,141230,65832,31534,31135,7871,5152,8502,2828,1495,4882,4151,2508,5468,27371,8224,7078,33946,27268,33520,34357
2015-09-01,365331,181956,171530,45722,33538,8807,6192,12857,3175,2016,6192,4855,3453,8555,38266,10131,8591,33887,28553,33948,33422
2015-10-01,395512,181178,87365,41639,37255,9018,7038,11934,4201,1927,8122,5185,3912,9070,35708,10615,9915,37411,32204,37493,37422
2015-11-01,425761,172369,105045,47679,33934,9259,6892,10947,4235,1819,10118,5213,3758,8517,34963,9862,8933,25379,20930,24726,24302
2015-12-01,413439,150454,70050,32219,28099,8679,5823,10027,4171,1946,7396,4845,3297,7006,32796,8856,8270,28109,23336,27569,28332
2016-01-01,418052,161558,76282,36080,30633,8626,6545,9756,3460,1737,6843,5040,3268,11121,36453,10351,8244,22768,19789,24233,24006
2016-02-01,366649,159944,74201,33566,30474,8408,6799,10515,2902,1768,6878,5226,3492,8565,36673,11244,8528,23528,20163,23862,23477
2016-03-01,376098,188562,93360,33111,33345,9282,7021,9741,2895,1873,6704,5326,3639,8099,45601,9963,8753,24252,21530,25406,24780
2016-04-01,391692,161627,73101,32972,33157,8488,6468,8891,2783,1728,6841,4964,3312,7559,39179,8882,8835,24256,21259,24615,24176
2016-05-01,389373,163428,71673,37058,33384,10077,6242,8927,2669,1875,6892,4901,3176,7251,38813,8634,8918,35260,30450,33603,33762
2016-06-01,288063,127837,59320,28391,22740,7543,4762,6474,2104,1683,5051,3912,2650,6516,26867,6676,6786,48307,40751,46531,45576
2016-07-01,243386,111072,49373,20631,22303,7095,4156,6574,2518,1517,4728,3667,2359,5283,23129,57876,5916,25551,22479,24915,24287
