,David (Donatello),Judith and Holofernes (Donatello),Gattamelata,David (Michelangelo),Sistine Chapel ceiling,Pietà,School of Athens,Sistine Madonna,Transfiguration (Raphael),Mona Lisa,Last Supper,Vitruvian Man,Venus of Urbino (Titian),Holy Trinity (Masaccio)
2015-07-01,6626,1687,1357,74712,40030,33160,25460,11729,2546,204101,2648,58486,6520,2700
2015-08-01,7421,1896,1409,69907,40551,38064,27224,12630,5080,232240,2470,62633,6593,2209
2015-09-01,15204,2682,3015,80021,54069,50130,47792,9973,4980,248219,3023,72200,21681,5251
2015-10-01,15206,2862,13475,75876,53938,45236,44651,10040,5207,241181,3520,71942,9948,6271
2015-11-01,13511,2649,2402,73287,145787,43768,42712,9162,3622,232281,3081,72235,9956,4999
2015-12-01,12279,2088,2127,62527,50070,43560,38144,9685,3130,324840,3483,69598,9544,4794
2016-01-01,12502,2142,2261,66560,52340,40215,43074,10041,3626,253940,3511,71550,8322,4213
2016-02-01,14768,2108,2604,67643,54750,43568,42387,9010,5166,239070,3447,65660,9999,6559
2016-03-01,14157,2250,2591,82106,66896,61790,40821,8970,4512,256243,3655,69714,10192,5623
2016-04-01,13325,2812,2314,76676,58283,46443,40779,8098,4105,271417,3024,70540,9954,4427
2016-05-01,12111,2352,2513,83609,58304,47921,37794,7845,3892,247884,2856,66576,9313,4274
2016-06-01,8621,1962,1841,72345,45942,36104,28281,5860,3333,211676,2498,62820,6517,2842
2016-07-01,6414,1812,1322,74254,41562,34600,23572,5695,2832,192076,2028,55937,5701,2652
2016-08-01,7323,2005,1439,91754,44476,57508,30335,6716,3297,242834,2345,64683,6062,2144
2016-09-01,14370,2560,3285,93315,57587,48718,61841,11090,6680,253813,2663,78681,7457,5279
2016-10-01,14581,2866,3133,99663,60627,50286,48142,10889,6395,289677,3229,87097,8851,5958
2016-11-01,12465,2466,2680,88824,53375,44708,41531,9060,5475,277292,2442,76633,8036,4770
2016-12-01,17037,3541,2219,81245,71632,44685,38963,8489,3936,271767,2370,71603,8119,4193
2017-01-01,15381,2773,2588,79141,57688,49297,43071,8282,6004,307893,2529,73865,10210,4141
2017-02-01,16002,2457,2542,80986,55136,43812,41889,8281,5625,253958,2182,69104,9729,6107
2017-03-01,16827,2666,2656,93117,60704,49559,44616,8341,7057,273945,2530,75924,9737,5629
2017-04-01,13658,2495,2406,87329,62455,50010,39088,7091,4292,240110,2506,75362,9302,4457
2017-05-01,14161,2599,2101,122062,54587,47691,39657,6975,4770,257166,2113,70710,7925,4169
2017-06-01,9450,2306,1836,89668,43038,38058,27737,4844,5064,203622,1878,56995,6539,2978
2017-07-01,8794,1946,1407,90672,48635,39924,25329,5032,2972,211741,1591,61214,10629,2246
2017-08-01,10927,2278,1685,89314,42200,38043,30623,5825,4948,234795,1634,63903,5476,2163
2017-09-01,14145,2730,2932,102260,50909,46352,48698,8666,6515,259629,1652,68094,6132,4883
2017-10-01,15361,2958,3355,95865,54010,45864,49080,9092,6793,291891,2176,85148,9117,5588
2017-11-01,12511,2547,2353,89744,59432,42378,45657,7913,5300,331584,3317,109651,9100,4116
2017-12-01,10803,2116,1949,76154,48908,38369,38704,7423,4099,243997,2551,70726,8655,3853
2018-01-01,11637,2227,2060,88493,52363,42500,43299,7390,4717,281664,2363,73833,8614,3770
2018-02-01,13421,2474,2203,80197,47660,38729,44272,7013,6380,262241,1787,64206,9864,5323
2018-03-01,14585,2923,2711,97517,52646,60365,48154,7173,5682,286945,1756,75297,10847,5217
2018-04-01,12643,2500,2270,94441,53213,43869,45593,8432,5140,266865,1861,69333,10432,3970
2018-05-01,14566,2775,2321,107269,55812,49550,45473,7264,4812,294751,1636,69329,9873,4157
2018-06-01,10633,2107,2147,114353,43203,39640,31888,5540,3586,273691,1388,64913,7394,2683
2018-07-01,9279,2164,1825,93281,43014,44316,28914,5478,3405,265180,1250,64852,6821,2590
2018-08-01,10186,2311,1913,99075,45483,41029,34225,6102,4450,279813,1347,69571,6633,4228
2018-09-01,15450,3304,3527,105192,49708,49280,49165,8086,6247,281928,1416,70618,7819,4563
2018-10-01,16808,3324,3318,105197,58755,46598,49387,8530,5973,261931,1515,69135,9798,5803
2018-11-01,13055,2723,2447,109647,57461,40437,50576,7832,4668,243018,1213,64147,8288,4437
