term,thumbs_up,turtle_ctx,art_ctx,definition
donatello,0,1,0,"A word derived from the under-rated ninja [turtle] which is slang for a [person] with a strong work ethic who is often enjoys doing jobs such as [programming], typing in captchas, and other data entry jobs."
donatello,0,1,0,"the nerdy ninja [turtle] with a [pole], who'[s a] genuis in life."
donatello,0,1,0,Doing a donatello: to [state] the bleeding [obvious]. As in Donatello from [TMNT]
donatello,0,0,1,"A renowned Renaissance [genius] from [Florence] revered for his wondrous works, including the bronze David. In present times, we know Donatello as the effervescent YMer who happens to be a very skilled writer, as is exemplified in the letter she wrote to her [parents] as she has been attending Catho"
donatello,0,1,0,The Purple ninja [turtle] who [used] a wooden staff [I think].
donatello,0,1,0,"Donatello is the sovereign deity of the jungle continent Yssam, near the [carebear] lands of Agon.  He imposes his presence on [the city] of Talpec as a mountain shaped like a turtles [head]. He requires blood sacrifices for him to manifest his power through his followers. His future plan is to con"
donatello,0,0,0,The Green and Purple Gonja (SUPER DANK)- Tastes like a [bowl] of fruity [pebbles].  (P-[Town] slang for the Purps)
donatello,0,0,0,"A very underrated and unique name of a [person] who is very intelligent and understanding. This person is extremely loyal and doesn’t talk about things they don’t know. Once you’re [cool] with a Donatello, you’re pretty much [friends] for life. You’ll never have to question their loyalty because the"
donatello,0,1,0,"Honestly, the best and most attractive teenage [mutant] ninja [turtle] (specifically rise Donatello) due primarily to [personality]."
donatello,0,0,0,Drop in replacement for diarrhea that’[s more] [appropriate] for mixed [company].
raphael,0,0,1,"A name; commonly given to those of overwhelming [intelligence], indisputable potential, exceedingly high SAT scores.  Silent, skinny, and [shy], yet braver, bolder, brasher than any mortal you could hope to [meet], Raphaels approach life with a quiet, yet brazenly authoritative audacity, which is un"
raphael,0,0,0,"Raphael is a guy who is willing to succeed with his life and I willing to take challenges that many people call [crazy] he is [amazing] at soccer and is will to put his love in the hands of someone trustworthy someone who is truly them self and won't hold him back from life,he is In love with a girl"
raphael,0,0,0,"A person who's life is fueled by his passion for something on which others often look down on- often a very special person or hobby, a Raphael sees the bright in everything and sees [talent] and beauty when it comes his way. He can put the most complicated emotional feelings to [paper]. Often made ["
raphael,0,0,0,The coolest kid ever that can bench press 846 pounds and that is [hot] and the most intelligent guy ever. He's so flippin' [hot] and he is sexier than Arseny.  Make [sure] to also check out the best channel ever: BananaCrazyness
raphael,0,0,0,"A lovely,caring and perfect guy. He is smart, loves to read, loves animals, [art] and loves watching [TV], he is tall, funny, successful and can be [annoying] at times but you would love him if you get to know him the more. You will be lucky to have him In your life."
raphael,0,0,0,"Raphael is what you call a sexy [beast]. He has a massive, bulky, yet veiny [cock] that arouses all women and sometimes even men. Although he does have amazing looks, he also has a great personality. He is really funny and makes everyone laugh. He is kind as well, and will always be there for you no"
raphael,0,1,0,"Ninja [Turtle], named after [artist] [Raffaello] Sanzio (Santi)."
raphael,0,0,0,A super charming guy. The coolest guy you know. extremely [sexy]. Beyond talented. Often plays an instrument and can sing like a god. Tends to be one of those people who actually understands you without judging. Likes to skate and play basketball. Can't [live] without [coffee].
raphael,0,0,0,"A raphael is that type of person with a special heart, [weird], freaky, talented but sometimes finding his talents becomes tasking, but non [d] less he would find it,he his kind hearted would give his kidney to save a stranger.. His greatest flaw is his mood swings, and sometimes can be [selfish] to"
raphael,0,0,0,Either [cool] or a total ass-hole and [salty] [as fuck]
michelangelo,0,0,1,"A sex position, not dissimilar to the Eiffel Tower, except with four total people; both gentlemen are going their [girls] doggy-style, while they [kiss] each other in the middle. Because of the increased distance, it's not possible for the men's hands to fully touch as in an Eiffel Tower; therefore,"
michelangelo,0,1,0,The [coolest] Teenage [Mutant] Ninja [Turtle].
michelangelo,0,1,0,"Michelangelo (originally Michaelangelo), nickname [Mike] or Mikey, is a fictional character and one of the [four] main characters of the Teenage Mutant Ninja Turtles comics and all related [media]."
michelangelo,0,1,0,"[italian]: the name michelangelo means close to god ,saintly , or gods messenger or warrior, also the coolest ninja [turtle] , he is also very nice good hearted and strong willed altough he can be [annoying] he is good to his freinds and girl"
michelangelo,0,0,0,"If you're an old history teacher, you'll know Michelangeloas the versatile [artist] whose prowess challenges that of Leonardo Da Vinci. Also, as an old history teacher, you'd know that Michelangelo died at the hallowed age of [88]. Hopefully our beloved YMer, Michelangelo will live to be just as old"
michelangelo,0,0,0,"A noble [animal], this horse [accompanies] the [Viscount] when he is in cities."
michelangelo,0,1,0,"The [Ninja] Turte that wore the orange [face] covering and had the numchuks or nunchakas as a weapon, depending on which martial [art] he was mastering."
michelangelo,0,0,1,"Doing a Michelangelo means you are undertaking an epic [painting] task, usually [painting] a [ceiling], similar to Michelangelo painting the ceiling of the Cistine Chapel."
michelangelo,0,0,1,"A sexual [act] performed by a male/female couple. The female blows the male until he unloads in her mouth. After which, they snowball to create a [creamy] [paint]. After proper mixing, the male takes the snowball and female lays on her back, stomach exposed. The male stands above the female and spit"
michelangelo,0,0,0,When a guy'[s] initial stream of [urine] hits the toilet bowel water with so much [force] that the water shoots a droplet up to eye level.
leonardo,0,0,0,"is a nice ass dude. he’s a cute little nugget. he’[s] always there to listen even if you’re annoying asf. he’s funny and nice in any way possible. his laugh makes you laugh, not in a bad way but in a way that makes you feel good that you made someone laugh. [leo] is a good fellow friend. at [first] "
leonardo,0,0,0,"A very good, loyal, trusted, [nice], friend who has a huge dick and can [make] any woman [happy]."
leonardo,0,0,0,Leonardo is usally gets called [Leo] he is a lion in [bed] he also one of the best boyfriends you can ever have he a good boy to [go] he follows the word of god
leonardo,0,0,0,he is [sexy]. has a nice ass . he is smart. very responsible. he is super cute. he is super [silly] . if you go on a date with him you are lucky.he is the love in your heart. he makes your day. he also makes your dreams come true.you can always [trust] him.he is strong.he is always honest.
leonardo,0,0,0,"Cute ass guy, he won't [judge] you nor make [fun] of you. Likes rock and can be very responsable if he puts his mind onto it. Reliable and [fun] to be with once you get to know him. Can make things better by just talking with him."
leonardo,0,0,0,"A very funny and Hot person the perfect [boyfriend] and a very [handsome] guy, and sweet as [sugar]  his IQ is very high, but sometimes he may be distract,  a great man who will never betray you, be careful cause you may fall in love with him."
leonardo,0,0,0,He is an ass but he really [fine] and funny and can [make] ur day just with a [picture]😂
leonardo,0,0,0,Leonardo is a cute [person I] [ever] [seen] :)
leonardo,0,0,0,"There'[s] not really much to say. Blue eyes, rather skinny and the biggest fattest [cock] you'll ever see. It probably doesn't even fit in your mouth, it's aroud 12 inches/31cm [long] and is simply a jawbreaker."
leonardo,0,1,0,[Leader] of the [tmnt].
titian,0,0,1,"titian is the sexiest shade of red, usually used to describe [hair] colour... it comes from the [artist], titian, who only painted women with this colour [hair]."
titian,0,0,0,A word made up by a ginger [troll] to make themselves feel better. Titian is not a [Colour]. You are ginger. Ginger is a [colour].
titian,0,0,0,A species with ginger/ red [hair] don’t class as strawberry [blonde] more like the little mermaid [hair].
titian,0,0,0,The state of being titanically awesome. Titian is used as a supreme state of mastery for mental and physical thoughts. Also can be used for someone extremely [beautiful] and special. When joined with awesome it becomes [almost] a supreme being because of being titian and awesome at the same [time].
titian,0,0,0,The [legit] personification of an elected [official] who sides with Good Ol' [Daddy] Rothschild.
titian,0,0,0,"Titanfall 2 is an [amazing] first [person] shooter with an astonishing single [player] campaign and an exciting, fastpaced multiplayer. It is gory though."
titian,0,0,0,"The underdog of first-person shooters.  Titanfall was made by the old Call of Duty devs when [COD] was still good. Titanfall features a unique futuristic movement system, [wall]-running, sliding and double jumping all while momentum based. Titanfall features massive robots which fall from the sky i"
titian,0,0,0,the [face] you make while having sex with [one] hand against a [window].
titian,0,0,0,"A [lazy] [fatass] that sits in his mom's basement playing his xbox all day. Recently reported of eating all of RadioActive360's [friends]. inventor of the term ""He scared the poopy out of me!"" Basically a worthless piece of shit."
titian,0,0,0,A [show] full of blood and [tears]. Don't [get] attached to anyone because they will die.
